file_name,accuracy
adjunct_island.jsonl,0.9
anaphor_gender_agreement.jsonl,0.992
anaphor_number_agreement.jsonl,0.972
animate_subject_passive.jsonl,0.816
animate_subject_trans.jsonl,0.877
causative.jsonl,0.786
complex_NP_island.jsonl,0.726
coordinate_structure_constraint_complex_left_branch.jsonl,0.904
coordinate_structure_constraint_object_extraction.jsonl,0.838
determiner_noun_agreement_1.jsonl,0.971
determiner_noun_agreement_2.jsonl,0.977
determiner_noun_agreement_irregular_1.jsonl,0.879
determiner_noun_agreement_irregular_2.jsonl,0.972
determiner_noun_agreement_with_adj_2.jsonl,0.969
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.916
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.961
determiner_noun_agreement_with_adjective_1.jsonl,0.951
distractor_agreement_relational_noun.jsonl,0.965
distractor_agreement_relative_clause.jsonl,0.737
drop_argument.jsonl,0.537
ellipsis_n_bar_1.jsonl,0.876
ellipsis_n_bar_2.jsonl,0.936
existential_there_object_raising.jsonl,0.698
existential_there_quantifiers_1.jsonl,0.968
existential_there_quantifiers_2.jsonl,0.111
existential_there_subject_raising.jsonl,0.885
expletive_it_object_raising.jsonl,0.749
inchoative.jsonl,0.719
intransitive.jsonl,0.715
irregular_past_participle_adjectives.jsonl,0.919
irregular_past_participle_verbs.jsonl,0.881
irregular_plural_subject_verb_agreement_1.jsonl,0.935
irregular_plural_subject_verb_agreement_2.jsonl,0.86
left_branch_island_echo_question.jsonl,0.675
left_branch_island_simple_question.jsonl,0.945
matrix_question_npi_licensor_present.jsonl,0.882
npi_present_1.jsonl,0.688
npi_present_2.jsonl,0.675
only_npi_licensor_present.jsonl,0.933
only_npi_scope.jsonl,0.684
passive_1.jsonl,0.727
passive_2.jsonl,0.824
principle_A_c_command.jsonl,0.581
principle_A_case_1.jsonl,0.999
principle_A_case_2.jsonl,0.921
principle_A_domain_1.jsonl,0.968
principle_A_domain_2.jsonl,0.726
principle_A_domain_3.jsonl,0.722
principle_A_reconstruction.jsonl,0.412
regular_plural_subject_verb_agreement_1.jsonl,0.956
regular_plural_subject_verb_agreement_2.jsonl,0.928
sentential_negation_npi_licensor_present.jsonl,0.972
sentential_negation_npi_scope.jsonl,0.808
sentential_subject_island.jsonl,0.455
superlative_quantifiers_1.jsonl,0.866
superlative_quantifiers_2.jsonl,0.776
tough_vs_raising_1.jsonl,0.648
tough_vs_raising_2.jsonl,0.947
transitive.jsonl,0.757
wh_island.jsonl,0.852
wh_questions_object_gap.jsonl,0.832
wh_questions_subject_gap.jsonl,0.916
wh_questions_subject_gap_long_distance.jsonl,0.868
wh_vs_that_no_gap.jsonl,0.975
wh_vs_that_no_gap_long_distance.jsonl,0.943
wh_vs_that_with_gap.jsonl,0.692
wh_vs_that_with_gap_long_distance.jsonl,0.618
