file_name,accuracy
adjunct_island.jsonl,0.869
anaphor_gender_agreement.jsonl,0.986
anaphor_number_agreement.jsonl,0.969
animate_subject_passive.jsonl,0.765
animate_subject_trans.jsonl,0.863
causative.jsonl,0.866
complex_NP_island.jsonl,0.824
coordinate_structure_constraint_complex_left_branch.jsonl,0.921
coordinate_structure_constraint_object_extraction.jsonl,0.905
determiner_noun_agreement_1.jsonl,0.995
determiner_noun_agreement_2.jsonl,0.996
determiner_noun_agreement_irregular_1.jsonl,0.904
determiner_noun_agreement_irregular_2.jsonl,0.988
determiner_noun_agreement_with_adj_2.jsonl,0.98
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.92
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.979
determiner_noun_agreement_with_adjective_1.jsonl,0.979
distractor_agreement_relational_noun.jsonl,0.932
distractor_agreement_relative_clause.jsonl,0.824
drop_argument.jsonl,0.829
ellipsis_n_bar_1.jsonl,0.879
ellipsis_n_bar_2.jsonl,0.937
existential_there_object_raising.jsonl,0.715
existential_there_quantifiers_1.jsonl,0.944
existential_there_quantifiers_2.jsonl,0.211
existential_there_subject_raising.jsonl,0.897
expletive_it_object_raising.jsonl,0.801
inchoative.jsonl,0.82
intransitive.jsonl,0.881
irregular_past_participle_adjectives.jsonl,0.97
irregular_past_participle_verbs.jsonl,0.966
irregular_plural_subject_verb_agreement_1.jsonl,0.916
irregular_plural_subject_verb_agreement_2.jsonl,0.884
left_branch_island_echo_question.jsonl,0.717
left_branch_island_simple_question.jsonl,0.975
matrix_question_npi_licensor_present.jsonl,0.853
npi_present_1.jsonl,0.719
npi_present_2.jsonl,0.764
only_npi_licensor_present.jsonl,0.994
only_npi_scope.jsonl,0.837
passive_1.jsonl,0.786
passive_2.jsonl,0.914
principle_A_c_command.jsonl,0.659
principle_A_case_1.jsonl,0.996
principle_A_case_2.jsonl,0.974
principle_A_domain_1.jsonl,0.926
principle_A_domain_2.jsonl,0.778
principle_A_domain_3.jsonl,0.76
principle_A_reconstruction.jsonl,0.447
regular_plural_subject_verb_agreement_1.jsonl,0.959
regular_plural_subject_verb_agreement_2.jsonl,0.971
sentential_negation_npi_licensor_present.jsonl,0.969
sentential_negation_npi_scope.jsonl,0.848
sentential_subject_island.jsonl,0.576
superlative_quantifiers_1.jsonl,0.882
superlative_quantifiers_2.jsonl,0.772
tough_vs_raising_1.jsonl,0.835
tough_vs_raising_2.jsonl,0.959
transitive.jsonl,0.887
wh_island.jsonl,0.882
wh_questions_object_gap.jsonl,0.917
wh_questions_subject_gap.jsonl,0.94
wh_questions_subject_gap_long_distance.jsonl,0.894
wh_vs_that_no_gap.jsonl,0.965
wh_vs_that_no_gap_long_distance.jsonl,0.959
wh_vs_that_with_gap.jsonl,0.82
wh_vs_that_with_gap_long_distance.jsonl,0.731
