file_name,accuracy
adjunct_island.jsonl,0.448
anaphor_gender_agreement.jsonl,0.897
anaphor_number_agreement.jsonl,0.878
animate_subject_passive.jsonl,0.565
animate_subject_trans.jsonl,0.742
causative.jsonl,0.581
complex_NP_island.jsonl,0.516
coordinate_structure_constraint_complex_left_branch.jsonl,0.168
coordinate_structure_constraint_object_extraction.jsonl,0.589
determiner_noun_agreement_1.jsonl,0.824
determiner_noun_agreement_2.jsonl,0.805
determiner_noun_agreement_irregular_1.jsonl,0.657
determiner_noun_agreement_irregular_2.jsonl,0.788
determiner_noun_agreement_with_adj_2.jsonl,0.737
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.696
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.729
determiner_noun_agreement_with_adjective_1.jsonl,0.748
distractor_agreement_relational_noun.jsonl,0.476
distractor_agreement_relative_clause.jsonl,0.414
drop_argument.jsonl,0.711
ellipsis_n_bar_1.jsonl,0.533
ellipsis_n_bar_2.jsonl,0.884
existential_there_object_raising.jsonl,0.726
existential_there_quantifiers_1.jsonl,0.49
existential_there_quantifiers_2.jsonl,0.366
existential_there_subject_raising.jsonl,0.562
expletive_it_object_raising.jsonl,0.692
inchoative.jsonl,0.51
intransitive.jsonl,0.642
irregular_past_participle_adjectives.jsonl,0.723
irregular_past_participle_verbs.jsonl,0.701
irregular_plural_subject_verb_agreement_1.jsonl,0.624
irregular_plural_subject_verb_agreement_2.jsonl,0.727
left_branch_island_echo_question.jsonl,0.814
left_branch_island_simple_question.jsonl,0.235
matrix_question_npi_licensor_present.jsonl,0.144
npi_present_1.jsonl,0.537
npi_present_2.jsonl,0.59
only_npi_licensor_present.jsonl,0.36
only_npi_scope.jsonl,0.383
passive_1.jsonl,0.729
passive_2.jsonl,0.729
principle_A_c_command.jsonl,0.473
principle_A_case_1.jsonl,0.818
principle_A_case_2.jsonl,0.581
principle_A_domain_1.jsonl,0.752
principle_A_domain_2.jsonl,0.581
principle_A_domain_3.jsonl,0.53
principle_A_reconstruction.jsonl,0.486
regular_plural_subject_verb_agreement_1.jsonl,0.69
regular_plural_subject_verb_agreement_2.jsonl,0.635
sentential_negation_npi_licensor_present.jsonl,0.797
sentential_negation_npi_scope.jsonl,0.513
sentential_subject_island.jsonl,0.48
superlative_quantifiers_1.jsonl,0.15
superlative_quantifiers_2.jsonl,0.497
tough_vs_raising_1.jsonl,0.625
tough_vs_raising_2.jsonl,0.559
transitive.jsonl,0.666
wh_island.jsonl,0.376
wh_questions_object_gap.jsonl,0.525
wh_questions_subject_gap.jsonl,0.659
wh_questions_subject_gap_long_distance.jsonl,0.765
wh_vs_that_no_gap.jsonl,0.801
wh_vs_that_no_gap_long_distance.jsonl,0.803
wh_vs_that_with_gap.jsonl,0.393
wh_vs_that_with_gap_long_distance.jsonl,0.327
