file_name,accuracy
adjunct_island.jsonl,0.901
anaphor_gender_agreement.jsonl,0.987
anaphor_number_agreement.jsonl,0.993
animate_subject_passive.jsonl,0.787
animate_subject_trans.jsonl,0.869
causative.jsonl,0.737
complex_NP_island.jsonl,0.617
coordinate_structure_constraint_complex_left_branch.jsonl,0.781
coordinate_structure_constraint_object_extraction.jsonl,0.879
determiner_noun_agreement_1.jsonl,0.989
determiner_noun_agreement_2.jsonl,0.968
determiner_noun_agreement_irregular_1.jsonl,0.901
determiner_noun_agreement_irregular_2.jsonl,0.917
determiner_noun_agreement_with_adj_2.jsonl,0.926
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.841
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.879
determiner_noun_agreement_with_adjective_1.jsonl,0.961
distractor_agreement_relational_noun.jsonl,0.881
distractor_agreement_relative_clause.jsonl,0.714
drop_argument.jsonl,0.766
ellipsis_n_bar_1.jsonl,0.768
ellipsis_n_bar_2.jsonl,0.914
existential_there_object_raising.jsonl,0.87
existential_there_quantifiers_1.jsonl,0.986
existential_there_quantifiers_2.jsonl,0.632
existential_there_subject_raising.jsonl,0.896
expletive_it_object_raising.jsonl,0.798
inchoative.jsonl,0.65
intransitive.jsonl,0.799
irregular_past_participle_adjectives.jsonl,0.955
irregular_past_participle_verbs.jsonl,0.905
irregular_plural_subject_verb_agreement_1.jsonl,0.886
irregular_plural_subject_verb_agreement_2.jsonl,0.888
left_branch_island_echo_question.jsonl,0.566
left_branch_island_simple_question.jsonl,0.921
matrix_question_npi_licensor_present.jsonl,0.808
npi_present_1.jsonl,0.623
npi_present_2.jsonl,0.697
only_npi_licensor_present.jsonl,0.972
only_npi_scope.jsonl,0.888
passive_1.jsonl,0.872
passive_2.jsonl,0.893
principle_A_c_command.jsonl,0.745
principle_A_case_1.jsonl,1.0
principle_A_case_2.jsonl,0.936
principle_A_domain_1.jsonl,0.993
principle_A_domain_2.jsonl,0.833
principle_A_domain_3.jsonl,0.535
principle_A_reconstruction.jsonl,0.349
regular_plural_subject_verb_agreement_1.jsonl,0.938
regular_plural_subject_verb_agreement_2.jsonl,0.913
sentential_negation_npi_licensor_present.jsonl,0.993
sentential_negation_npi_scope.jsonl,0.754
sentential_subject_island.jsonl,0.447
superlative_quantifiers_1.jsonl,0.918
superlative_quantifiers_2.jsonl,0.829
tough_vs_raising_1.jsonl,0.622
tough_vs_raising_2.jsonl,0.866
transitive.jsonl,0.864
wh_island.jsonl,0.847
wh_questions_object_gap.jsonl,0.811
wh_questions_subject_gap.jsonl,0.906
wh_questions_subject_gap_long_distance.jsonl,0.885
wh_vs_that_no_gap.jsonl,0.957
wh_vs_that_no_gap_long_distance.jsonl,0.947
wh_vs_that_with_gap.jsonl,0.36
wh_vs_that_with_gap_long_distance.jsonl,0.307
