file_name,accuracy
adjunct_island.jsonl,0.779
anaphor_gender_agreement.jsonl,0.993
anaphor_number_agreement.jsonl,0.949
animate_subject_passive.jsonl,0.758
animate_subject_trans.jsonl,0.82
causative.jsonl,0.821
complex_NP_island.jsonl,0.661
coordinate_structure_constraint_complex_left_branch.jsonl,0.906
coordinate_structure_constraint_object_extraction.jsonl,0.89
determiner_noun_agreement_1.jsonl,0.992
determiner_noun_agreement_2.jsonl,0.995
determiner_noun_agreement_irregular_1.jsonl,0.889
determiner_noun_agreement_irregular_2.jsonl,0.982
determiner_noun_agreement_with_adj_2.jsonl,0.978
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.911
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.968
determiner_noun_agreement_with_adjective_1.jsonl,0.983
distractor_agreement_relational_noun.jsonl,0.958
distractor_agreement_relative_clause.jsonl,0.825
drop_argument.jsonl,0.733
ellipsis_n_bar_1.jsonl,0.918
ellipsis_n_bar_2.jsonl,0.961
existential_there_object_raising.jsonl,0.685
existential_there_quantifiers_1.jsonl,0.978
existential_there_quantifiers_2.jsonl,0.327
existential_there_subject_raising.jsonl,0.858
expletive_it_object_raising.jsonl,0.733
inchoative.jsonl,0.746
intransitive.jsonl,0.801
irregular_past_participle_adjectives.jsonl,0.967
irregular_past_participle_verbs.jsonl,0.894
irregular_plural_subject_verb_agreement_1.jsonl,0.925
irregular_plural_subject_verb_agreement_2.jsonl,0.941
left_branch_island_echo_question.jsonl,0.516
left_branch_island_simple_question.jsonl,0.979
matrix_question_npi_licensor_present.jsonl,0.904
npi_present_1.jsonl,0.786
npi_present_2.jsonl,0.829
only_npi_licensor_present.jsonl,0.996
only_npi_scope.jsonl,0.894
passive_1.jsonl,0.8
passive_2.jsonl,0.877
principle_A_c_command.jsonl,0.546
principle_A_case_1.jsonl,0.997
principle_A_case_2.jsonl,0.965
principle_A_domain_1.jsonl,0.897
principle_A_domain_2.jsonl,0.795
principle_A_domain_3.jsonl,0.749
principle_A_reconstruction.jsonl,0.301
regular_plural_subject_verb_agreement_1.jsonl,0.952
regular_plural_subject_verb_agreement_2.jsonl,0.959
sentential_negation_npi_licensor_present.jsonl,0.997
sentential_negation_npi_scope.jsonl,0.885
sentential_subject_island.jsonl,0.587
superlative_quantifiers_1.jsonl,0.906
superlative_quantifiers_2.jsonl,0.839
tough_vs_raising_1.jsonl,0.683
tough_vs_raising_2.jsonl,0.944
transitive.jsonl,0.863
wh_island.jsonl,0.725
wh_questions_object_gap.jsonl,0.889
wh_questions_subject_gap.jsonl,0.936
wh_questions_subject_gap_long_distance.jsonl,0.863
wh_vs_that_no_gap.jsonl,0.981
wh_vs_that_no_gap_long_distance.jsonl,0.988
wh_vs_that_with_gap.jsonl,0.747
wh_vs_that_with_gap_long_distance.jsonl,0.6
