file_name,accuracy
adjunct_island.jsonl,0.537
anaphor_gender_agreement.jsonl,0.95
anaphor_number_agreement.jsonl,0.945
animate_subject_passive.jsonl,0.618
animate_subject_trans.jsonl,0.791
causative.jsonl,0.579
complex_NP_island.jsonl,0.521
coordinate_structure_constraint_complex_left_branch.jsonl,0.179
coordinate_structure_constraint_object_extraction.jsonl,0.595
determiner_noun_agreement_1.jsonl,0.685
determiner_noun_agreement_2.jsonl,0.555
determiner_noun_agreement_irregular_1.jsonl,0.594
determiner_noun_agreement_irregular_2.jsonl,0.577
determiner_noun_agreement_with_adj_2.jsonl,0.521
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.653
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.565
determiner_noun_agreement_with_adjective_1.jsonl,0.659
distractor_agreement_relational_noun.jsonl,0.539
distractor_agreement_relative_clause.jsonl,0.529
drop_argument.jsonl,0.659
ellipsis_n_bar_1.jsonl,0.801
ellipsis_n_bar_2.jsonl,0.772
existential_there_object_raising.jsonl,0.661
existential_there_quantifiers_1.jsonl,0.697
existential_there_quantifiers_2.jsonl,0.119
existential_there_subject_raising.jsonl,0.516
expletive_it_object_raising.jsonl,0.64
inchoative.jsonl,0.467
intransitive.jsonl,0.513
irregular_past_participle_adjectives.jsonl,0.407
irregular_past_participle_verbs.jsonl,0.751
irregular_plural_subject_verb_agreement_1.jsonl,0.506
irregular_plural_subject_verb_agreement_2.jsonl,0.609
left_branch_island_echo_question.jsonl,0.299
left_branch_island_simple_question.jsonl,0.146
matrix_question_npi_licensor_present.jsonl,0.091
npi_present_1.jsonl,0.399
npi_present_2.jsonl,0.454
only_npi_licensor_present.jsonl,0.331
only_npi_scope.jsonl,0.563
passive_1.jsonl,0.709
passive_2.jsonl,0.73
principle_A_c_command.jsonl,0.586
principle_A_case_1.jsonl,0.851
principle_A_case_2.jsonl,0.34
principle_A_domain_1.jsonl,0.929
principle_A_domain_2.jsonl,0.575
principle_A_domain_3.jsonl,0.517
principle_A_reconstruction.jsonl,0.384
regular_plural_subject_verb_agreement_1.jsonl,0.591
regular_plural_subject_verb_agreement_2.jsonl,0.505
sentential_negation_npi_licensor_present.jsonl,0.997
sentential_negation_npi_scope.jsonl,0.854
sentential_subject_island.jsonl,0.547
superlative_quantifiers_1.jsonl,0.335
superlative_quantifiers_2.jsonl,0.321
tough_vs_raising_1.jsonl,0.427
tough_vs_raising_2.jsonl,0.609
transitive.jsonl,0.605
wh_island.jsonl,0.644
wh_questions_object_gap.jsonl,0.565
wh_questions_subject_gap.jsonl,0.623
wh_questions_subject_gap_long_distance.jsonl,0.599
wh_vs_that_no_gap.jsonl,0.682
wh_vs_that_no_gap_long_distance.jsonl,0.733
wh_vs_that_with_gap.jsonl,0.259
wh_vs_that_with_gap_long_distance.jsonl,0.232
