file_name,accuracy
adjunct_island.jsonl,0.869
anaphor_gender_agreement.jsonl,0.99
anaphor_number_agreement.jsonl,0.991
animate_subject_passive.jsonl,0.763
animate_subject_trans.jsonl,0.875
causative.jsonl,0.756
complex_NP_island.jsonl,0.572
coordinate_structure_constraint_complex_left_branch.jsonl,0.703
coordinate_structure_constraint_object_extraction.jsonl,0.863
determiner_noun_agreement_1.jsonl,0.975
determiner_noun_agreement_2.jsonl,0.965
determiner_noun_agreement_irregular_1.jsonl,0.901
determiner_noun_agreement_irregular_2.jsonl,0.944
determiner_noun_agreement_with_adj_2.jsonl,0.929
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.87
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.899
determiner_noun_agreement_with_adjective_1.jsonl,0.947
distractor_agreement_relational_noun.jsonl,0.87
distractor_agreement_relative_clause.jsonl,0.772
drop_argument.jsonl,0.711
ellipsis_n_bar_1.jsonl,0.824
ellipsis_n_bar_2.jsonl,0.866
existential_there_object_raising.jsonl,0.838
existential_there_quantifiers_1.jsonl,0.987
existential_there_quantifiers_2.jsonl,0.412
existential_there_subject_raising.jsonl,0.874
expletive_it_object_raising.jsonl,0.804
inchoative.jsonl,0.633
intransitive.jsonl,0.758
irregular_past_participle_adjectives.jsonl,0.935
irregular_past_participle_verbs.jsonl,0.828
irregular_plural_subject_verb_agreement_1.jsonl,0.91
irregular_plural_subject_verb_agreement_2.jsonl,0.853
left_branch_island_echo_question.jsonl,0.475
left_branch_island_simple_question.jsonl,0.818
matrix_question_npi_licensor_present.jsonl,0.614
npi_present_1.jsonl,0.485
npi_present_2.jsonl,0.543
only_npi_licensor_present.jsonl,0.896
only_npi_scope.jsonl,0.857
passive_1.jsonl,0.861
passive_2.jsonl,0.882
principle_A_c_command.jsonl,0.75
principle_A_case_1.jsonl,0.996
principle_A_case_2.jsonl,0.897
principle_A_domain_1.jsonl,0.992
principle_A_domain_2.jsonl,0.805
principle_A_domain_3.jsonl,0.551
principle_A_reconstruction.jsonl,0.567
regular_plural_subject_verb_agreement_1.jsonl,0.919
regular_plural_subject_verb_agreement_2.jsonl,0.851
sentential_negation_npi_licensor_present.jsonl,0.932
sentential_negation_npi_scope.jsonl,0.731
sentential_subject_island.jsonl,0.45
superlative_quantifiers_1.jsonl,0.925
superlative_quantifiers_2.jsonl,0.77
tough_vs_raising_1.jsonl,0.658
tough_vs_raising_2.jsonl,0.836
transitive.jsonl,0.846
wh_island.jsonl,0.823
wh_questions_object_gap.jsonl,0.816
wh_questions_subject_gap.jsonl,0.912
wh_questions_subject_gap_long_distance.jsonl,0.877
wh_vs_that_no_gap.jsonl,0.977
wh_vs_that_no_gap_long_distance.jsonl,0.959
wh_vs_that_with_gap.jsonl,0.322
wh_vs_that_with_gap_long_distance.jsonl,0.334
