file_name,accuracy
adjunct_island.jsonl,0.791
anaphor_gender_agreement.jsonl,0.975
anaphor_number_agreement.jsonl,0.974
animate_subject_passive.jsonl,0.756
animate_subject_trans.jsonl,0.726
causative.jsonl,0.822
complex_NP_island.jsonl,0.534
coordinate_structure_constraint_complex_left_branch.jsonl,0.875
coordinate_structure_constraint_object_extraction.jsonl,0.882
determiner_noun_agreement_1.jsonl,0.993
determiner_noun_agreement_2.jsonl,0.999
determiner_noun_agreement_irregular_1.jsonl,0.874
determiner_noun_agreement_irregular_2.jsonl,0.953
determiner_noun_agreement_with_adj_2.jsonl,0.979
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.938
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.96
determiner_noun_agreement_with_adjective_1.jsonl,0.985
distractor_agreement_relational_noun.jsonl,0.95
distractor_agreement_relative_clause.jsonl,0.804
drop_argument.jsonl,0.632
ellipsis_n_bar_1.jsonl,0.908
ellipsis_n_bar_2.jsonl,0.97
existential_there_object_raising.jsonl,0.737
existential_there_quantifiers_1.jsonl,0.975
existential_there_quantifiers_2.jsonl,0.269
existential_there_subject_raising.jsonl,0.887
expletive_it_object_raising.jsonl,0.775
inchoative.jsonl,0.708
intransitive.jsonl,0.708
irregular_past_participle_adjectives.jsonl,0.972
irregular_past_participle_verbs.jsonl,0.968
irregular_plural_subject_verb_agreement_1.jsonl,0.913
irregular_plural_subject_verb_agreement_2.jsonl,0.944
left_branch_island_echo_question.jsonl,0.567
left_branch_island_simple_question.jsonl,0.983
matrix_question_npi_licensor_present.jsonl,0.932
npi_present_1.jsonl,0.919
npi_present_2.jsonl,0.882
only_npi_licensor_present.jsonl,0.963
only_npi_scope.jsonl,0.849
passive_1.jsonl,0.793
passive_2.jsonl,0.855
principle_A_c_command.jsonl,0.503
principle_A_case_1.jsonl,1.0
principle_A_case_2.jsonl,0.961
principle_A_domain_1.jsonl,0.92
principle_A_domain_2.jsonl,0.794
principle_A_domain_3.jsonl,0.784
principle_A_reconstruction.jsonl,0.286
regular_plural_subject_verb_agreement_1.jsonl,0.956
regular_plural_subject_verb_agreement_2.jsonl,0.969
sentential_negation_npi_licensor_present.jsonl,0.998
sentential_negation_npi_scope.jsonl,0.879
sentential_subject_island.jsonl,0.491
superlative_quantifiers_1.jsonl,0.731
superlative_quantifiers_2.jsonl,0.727
tough_vs_raising_1.jsonl,0.611
tough_vs_raising_2.jsonl,0.979
transitive.jsonl,0.824
wh_island.jsonl,0.618
wh_questions_object_gap.jsonl,0.888
wh_questions_subject_gap.jsonl,0.951
wh_questions_subject_gap_long_distance.jsonl,0.799
wh_vs_that_no_gap.jsonl,0.982
wh_vs_that_no_gap_long_distance.jsonl,0.977
wh_vs_that_with_gap.jsonl,0.671
wh_vs_that_with_gap_long_distance.jsonl,0.597
