file_name,accuracy
animate_subject_passive.jsonl,0.78
principle_A_domain_3.jsonl,0.546
npi_present_1.jsonl,0.579
wh_vs_that_no_gap_long_distance.jsonl,0.946
existential_there_quantifiers_1.jsonl,0.989
determiner_noun_agreement_irregular_1.jsonl,0.951
ellipsis_n_bar_1.jsonl,0.868
causative.jsonl,0.76
wh_questions_object_gap.jsonl,0.82
transitive.jsonl,0.872
superlative_quantifiers_1.jsonl,0.884
tough_vs_raising_2.jsonl,0.949
principle_A_case_1.jsonl,1.0
expletive_it_object_raising.jsonl,0.82
irregular_plural_subject_verb_agreement_2.jsonl,0.914
principle_A_domain_2.jsonl,0.825
sentential_negation_npi_scope.jsonl,0.751
ellipsis_n_bar_2.jsonl,0.863
determiner_noun_agreement_irregular_2.jsonl,0.968
left_branch_island_echo_question.jsonl,0.339
existential_there_quantifiers_2.jsonl,0.318
wh_island.jsonl,0.784
superlative_quantifiers_2.jsonl,0.854
principle_A_domain_1.jsonl,0.992
irregular_plural_subject_verb_agreement_1.jsonl,0.927
distractor_agreement_relative_clause.jsonl,0.768
existential_there_subject_raising.jsonl,0.911
tough_vs_raising_1.jsonl,0.668
principle_A_case_2.jsonl,0.962
coordinate_structure_constraint_object_extraction.jsonl,0.88
wh_vs_that_no_gap.jsonl,0.973
anaphor_gender_agreement.jsonl,0.988
determiner_noun_agreement_with_adj_2.jsonl,0.959
only_npi_scope.jsonl,0.745
inchoative.jsonl,0.673
wh_vs_that_with_gap_long_distance.jsonl,0.551
npi_present_2.jsonl,0.589
coordinate_structure_constraint_complex_left_branch.jsonl,0.554
left_branch_island_simple_question.jsonl,0.539
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.928
determiner_noun_agreement_2.jsonl,0.992
wh_vs_that_with_gap.jsonl,0.544
regular_plural_subject_verb_agreement_1.jsonl,0.968
passive_2.jsonl,0.905
anaphor_number_agreement.jsonl,0.993
animate_subject_trans.jsonl,0.863
intransitive.jsonl,0.85
irregular_past_participle_verbs.jsonl,0.897
only_npi_licensor_present.jsonl,0.894
passive_1.jsonl,0.904
sentential_subject_island.jsonl,0.342
regular_plural_subject_verb_agreement_2.jsonl,0.91
principle_A_c_command.jsonl,0.696
wh_questions_subject_gap.jsonl,0.933
sentential_negation_npi_licensor_present.jsonl,0.969
principle_A_reconstruction.jsonl,0.422
determiner_noun_agreement_with_adjective_1.jsonl,0.972
drop_argument.jsonl,0.809
existential_there_object_raising.jsonl,0.795
irregular_past_participle_adjectives.jsonl,0.988
adjunct_island.jsonl,0.921
matrix_question_npi_licensor_present.jsonl,0.662
distractor_agreement_relational_noun.jsonl,0.919
complex_NP_island.jsonl,0.68
wh_questions_subject_gap_long_distance.jsonl,0.848
determiner_noun_agreement_1.jsonl,0.994
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.938
