file_name,accuracy
adjunct_island.jsonl,0.891
anaphor_gender_agreement.jsonl,0.994
anaphor_number_agreement.jsonl,0.996
animate_subject_passive.jsonl,0.782
animate_subject_trans.jsonl,0.889
causative.jsonl,0.77
complex_NP_island.jsonl,0.583
coordinate_structure_constraint_complex_left_branch.jsonl,0.745
coordinate_structure_constraint_object_extraction.jsonl,0.868
determiner_noun_agreement_1.jsonl,0.993
determiner_noun_agreement_2.jsonl,0.978
determiner_noun_agreement_irregular_1.jsonl,0.937
determiner_noun_agreement_irregular_2.jsonl,0.931
determiner_noun_agreement_with_adj_2.jsonl,0.94
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.888
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.905
determiner_noun_agreement_with_adjective_1.jsonl,0.974
distractor_agreement_relational_noun.jsonl,0.837
distractor_agreement_relative_clause.jsonl,0.69
drop_argument.jsonl,0.795
ellipsis_n_bar_1.jsonl,0.784
ellipsis_n_bar_2.jsonl,0.931
existential_there_object_raising.jsonl,0.843
existential_there_quantifiers_1.jsonl,0.991
existential_there_quantifiers_2.jsonl,0.269
existential_there_subject_raising.jsonl,0.866
expletive_it_object_raising.jsonl,0.792
inchoative.jsonl,0.686
intransitive.jsonl,0.825
irregular_past_participle_adjectives.jsonl,0.975
irregular_past_participle_verbs.jsonl,0.873
irregular_plural_subject_verb_agreement_1.jsonl,0.924
irregular_plural_subject_verb_agreement_2.jsonl,0.911
left_branch_island_echo_question.jsonl,0.605
left_branch_island_simple_question.jsonl,0.881
matrix_question_npi_licensor_present.jsonl,0.668
npi_present_1.jsonl,0.679
npi_present_2.jsonl,0.785
only_npi_licensor_present.jsonl,0.955
only_npi_scope.jsonl,0.872
passive_1.jsonl,0.899
passive_2.jsonl,0.913
principle_A_c_command.jsonl,0.798
principle_A_case_1.jsonl,1.0
principle_A_case_2.jsonl,0.942
principle_A_domain_1.jsonl,0.997
principle_A_domain_2.jsonl,0.859
principle_A_domain_3.jsonl,0.774
principle_A_reconstruction.jsonl,0.548
regular_plural_subject_verb_agreement_1.jsonl,0.974
regular_plural_subject_verb_agreement_2.jsonl,0.917
sentential_negation_npi_licensor_present.jsonl,0.988
sentential_negation_npi_scope.jsonl,0.751
sentential_subject_island.jsonl,0.453
superlative_quantifiers_1.jsonl,0.927
superlative_quantifiers_2.jsonl,0.89
tough_vs_raising_1.jsonl,0.672
tough_vs_raising_2.jsonl,0.869
transitive.jsonl,0.886
wh_island.jsonl,0.798
wh_questions_object_gap.jsonl,0.78
wh_questions_subject_gap.jsonl,0.907
wh_questions_subject_gap_long_distance.jsonl,0.913
wh_vs_that_no_gap.jsonl,0.958
wh_vs_that_no_gap_long_distance.jsonl,0.953
wh_vs_that_with_gap.jsonl,0.385
wh_vs_that_with_gap_long_distance.jsonl,0.305
