file_name,accuracy
adjunct_island.jsonl,0.908
anaphor_gender_agreement.jsonl,0.992
anaphor_number_agreement.jsonl,0.994
animate_subject_passive.jsonl,0.794
animate_subject_trans.jsonl,0.859
causative.jsonl,0.767
complex_NP_island.jsonl,0.596
coordinate_structure_constraint_complex_left_branch.jsonl,0.755
coordinate_structure_constraint_object_extraction.jsonl,0.853
determiner_noun_agreement_1.jsonl,0.996
determiner_noun_agreement_2.jsonl,0.996
determiner_noun_agreement_irregular_1.jsonl,0.973
determiner_noun_agreement_irregular_2.jsonl,0.974
determiner_noun_agreement_with_adj_2.jsonl,0.962
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.934
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.948
determiner_noun_agreement_with_adjective_1.jsonl,0.976
distractor_agreement_relational_noun.jsonl,0.883
distractor_agreement_relative_clause.jsonl,0.746
drop_argument.jsonl,0.829
ellipsis_n_bar_1.jsonl,0.888
ellipsis_n_bar_2.jsonl,0.91
existential_there_object_raising.jsonl,0.84
existential_there_quantifiers_1.jsonl,0.976
existential_there_quantifiers_2.jsonl,0.662
existential_there_subject_raising.jsonl,0.918
expletive_it_object_raising.jsonl,0.786
inchoative.jsonl,0.693
intransitive.jsonl,0.856
irregular_past_participle_adjectives.jsonl,0.918
irregular_past_participle_verbs.jsonl,0.875
irregular_plural_subject_verb_agreement_1.jsonl,0.948
irregular_plural_subject_verb_agreement_2.jsonl,0.936
left_branch_island_echo_question.jsonl,0.493
left_branch_island_simple_question.jsonl,0.823
matrix_question_npi_licensor_present.jsonl,0.627
npi_present_1.jsonl,0.699
npi_present_2.jsonl,0.643
only_npi_licensor_present.jsonl,0.895
only_npi_scope.jsonl,0.737
passive_1.jsonl,0.885
passive_2.jsonl,0.891
principle_A_c_command.jsonl,0.804
principle_A_case_1.jsonl,1.0
principle_A_case_2.jsonl,0.934
principle_A_domain_1.jsonl,0.995
principle_A_domain_2.jsonl,0.9
principle_A_domain_3.jsonl,0.586
principle_A_reconstruction.jsonl,0.42
regular_plural_subject_verb_agreement_1.jsonl,0.939
regular_plural_subject_verb_agreement_2.jsonl,0.931
sentential_negation_npi_licensor_present.jsonl,0.988
sentential_negation_npi_scope.jsonl,0.721
sentential_subject_island.jsonl,0.349
superlative_quantifiers_1.jsonl,0.943
superlative_quantifiers_2.jsonl,0.917
tough_vs_raising_1.jsonl,0.663
tough_vs_raising_2.jsonl,0.877
transitive.jsonl,0.891
wh_island.jsonl,0.758
wh_questions_object_gap.jsonl,0.861
wh_questions_subject_gap.jsonl,0.939
wh_questions_subject_gap_long_distance.jsonl,0.882
wh_vs_that_no_gap.jsonl,0.964
wh_vs_that_no_gap_long_distance.jsonl,0.95
wh_vs_that_with_gap.jsonl,0.56
wh_vs_that_with_gap_long_distance.jsonl,0.476
