file_name,accuracy
adjunct_island.jsonl,0.881
anaphor_gender_agreement.jsonl,0.991
anaphor_number_agreement.jsonl,0.994
animate_subject_passive.jsonl,0.768
animate_subject_trans.jsonl,0.863
causative.jsonl,0.76
complex_NP_island.jsonl,0.557
coordinate_structure_constraint_complex_left_branch.jsonl,0.757
coordinate_structure_constraint_object_extraction.jsonl,0.849
determiner_noun_agreement_1.jsonl,0.993
determiner_noun_agreement_2.jsonl,0.975
determiner_noun_agreement_irregular_1.jsonl,0.952
determiner_noun_agreement_irregular_2.jsonl,0.944
determiner_noun_agreement_with_adj_2.jsonl,0.932
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.872
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.92
determiner_noun_agreement_with_adjective_1.jsonl,0.966
distractor_agreement_relational_noun.jsonl,0.825
distractor_agreement_relative_clause.jsonl,0.717
drop_argument.jsonl,0.799
ellipsis_n_bar_1.jsonl,0.806
ellipsis_n_bar_2.jsonl,0.938
existential_there_object_raising.jsonl,0.825
existential_there_quantifiers_1.jsonl,0.988
existential_there_quantifiers_2.jsonl,0.451
existential_there_subject_raising.jsonl,0.907
expletive_it_object_raising.jsonl,0.787
inchoative.jsonl,0.669
intransitive.jsonl,0.835
irregular_past_participle_adjectives.jsonl,0.96
irregular_past_participle_verbs.jsonl,0.888
irregular_plural_subject_verb_agreement_1.jsonl,0.921
irregular_plural_subject_verb_agreement_2.jsonl,0.91
left_branch_island_echo_question.jsonl,0.572
left_branch_island_simple_question.jsonl,0.865
matrix_question_npi_licensor_present.jsonl,0.693
npi_present_1.jsonl,0.59
npi_present_2.jsonl,0.705
only_npi_licensor_present.jsonl,0.904
only_npi_scope.jsonl,0.747
passive_1.jsonl,0.895
passive_2.jsonl,0.912
principle_A_c_command.jsonl,0.811
principle_A_case_1.jsonl,1.0
principle_A_case_2.jsonl,0.941
principle_A_domain_1.jsonl,0.998
principle_A_domain_2.jsonl,0.835
principle_A_domain_3.jsonl,0.763
principle_A_reconstruction.jsonl,0.43
regular_plural_subject_verb_agreement_1.jsonl,0.964
regular_plural_subject_verb_agreement_2.jsonl,0.906
sentential_negation_npi_licensor_present.jsonl,0.996
sentential_negation_npi_scope.jsonl,0.721
sentential_subject_island.jsonl,0.491
superlative_quantifiers_1.jsonl,0.886
superlative_quantifiers_2.jsonl,0.859
tough_vs_raising_1.jsonl,0.66
tough_vs_raising_2.jsonl,0.874
transitive.jsonl,0.858
wh_island.jsonl,0.85
wh_questions_object_gap.jsonl,0.793
wh_questions_subject_gap.jsonl,0.915
wh_questions_subject_gap_long_distance.jsonl,0.927
wh_vs_that_no_gap.jsonl,0.961
wh_vs_that_no_gap_long_distance.jsonl,0.959
wh_vs_that_with_gap.jsonl,0.35
wh_vs_that_with_gap_long_distance.jsonl,0.277
