file_name,accuracy
adjunct_island.jsonl,0.885
anaphor_gender_agreement.jsonl,0.989
anaphor_number_agreement.jsonl,0.992
animate_subject_passive.jsonl,0.774
animate_subject_trans.jsonl,0.9
causative.jsonl,0.733
complex_NP_island.jsonl,0.616
coordinate_structure_constraint_complex_left_branch.jsonl,0.767
coordinate_structure_constraint_object_extraction.jsonl,0.875
determiner_noun_agreement_1.jsonl,0.967
determiner_noun_agreement_2.jsonl,0.922
determiner_noun_agreement_irregular_1.jsonl,0.884
determiner_noun_agreement_irregular_2.jsonl,0.904
determiner_noun_agreement_with_adj_2.jsonl,0.88
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.858
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.878
determiner_noun_agreement_with_adjective_1.jsonl,0.942
distractor_agreement_relational_noun.jsonl,0.806
distractor_agreement_relative_clause.jsonl,0.641
drop_argument.jsonl,0.643
ellipsis_n_bar_1.jsonl,0.734
ellipsis_n_bar_2.jsonl,0.883
existential_there_object_raising.jsonl,0.811
existential_there_quantifiers_1.jsonl,0.98
existential_there_quantifiers_2.jsonl,0.636
existential_there_subject_raising.jsonl,0.897
expletive_it_object_raising.jsonl,0.782
inchoative.jsonl,0.542
intransitive.jsonl,0.625
irregular_past_participle_adjectives.jsonl,0.918
irregular_past_participle_verbs.jsonl,0.712
irregular_plural_subject_verb_agreement_1.jsonl,0.891
irregular_plural_subject_verb_agreement_2.jsonl,0.878
left_branch_island_echo_question.jsonl,0.677
left_branch_island_simple_question.jsonl,0.878
matrix_question_npi_licensor_present.jsonl,0.491
npi_present_1.jsonl,0.43
npi_present_2.jsonl,0.544
only_npi_licensor_present.jsonl,0.774
only_npi_scope.jsonl,0.753
passive_1.jsonl,0.896
passive_2.jsonl,0.892
principle_A_c_command.jsonl,0.766
principle_A_case_1.jsonl,1.0
principle_A_case_2.jsonl,0.918
principle_A_domain_1.jsonl,0.997
principle_A_domain_2.jsonl,0.877
principle_A_domain_3.jsonl,0.737
principle_A_reconstruction.jsonl,0.429
regular_plural_subject_verb_agreement_1.jsonl,0.893
regular_plural_subject_verb_agreement_2.jsonl,0.839
sentential_negation_npi_licensor_present.jsonl,0.96
sentential_negation_npi_scope.jsonl,0.704
sentential_subject_island.jsonl,0.451
superlative_quantifiers_1.jsonl,0.888
superlative_quantifiers_2.jsonl,0.841
tough_vs_raising_1.jsonl,0.497
tough_vs_raising_2.jsonl,0.848
transitive.jsonl,0.841
wh_island.jsonl,0.856
wh_questions_object_gap.jsonl,0.783
wh_questions_subject_gap.jsonl,0.904
wh_questions_subject_gap_long_distance.jsonl,0.909
wh_vs_that_no_gap.jsonl,0.947
wh_vs_that_no_gap_long_distance.jsonl,0.95
wh_vs_that_with_gap.jsonl,0.223
wh_vs_that_with_gap_long_distance.jsonl,0.178
