file_name,accuracy
adjunct_island.jsonl,0.834
anaphor_gender_agreement.jsonl,0.934
anaphor_number_agreement.jsonl,0.97
animate_subject_passive.jsonl,0.78
animate_subject_trans.jsonl,0.872
causative.jsonl,0.714
complex_NP_island.jsonl,0.509
coordinate_structure_constraint_complex_left_branch.jsonl,0.632
coordinate_structure_constraint_object_extraction.jsonl,0.864
determiner_noun_agreement_1.jsonl,0.975
determiner_noun_agreement_2.jsonl,0.988
determiner_noun_agreement_irregular_1.jsonl,0.833
determiner_noun_agreement_irregular_2.jsonl,0.953
determiner_noun_agreement_with_adj_2.jsonl,0.968
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.88
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.935
determiner_noun_agreement_with_adjective_1.jsonl,0.957
distractor_agreement_relational_noun.jsonl,0.948
distractor_agreement_relative_clause.jsonl,0.825
drop_argument.jsonl,0.59
ellipsis_n_bar_1.jsonl,0.833
ellipsis_n_bar_2.jsonl,0.983
existential_there_object_raising.jsonl,0.747
existential_there_quantifiers_1.jsonl,0.994
existential_there_quantifiers_2.jsonl,0.146
existential_there_subject_raising.jsonl,0.884
expletive_it_object_raising.jsonl,0.711
inchoative.jsonl,0.654
intransitive.jsonl,0.677
irregular_past_participle_adjectives.jsonl,0.768
irregular_past_participle_verbs.jsonl,0.85
irregular_plural_subject_verb_agreement_1.jsonl,0.89
irregular_plural_subject_verb_agreement_2.jsonl,0.838
left_branch_island_echo_question.jsonl,0.417
left_branch_island_simple_question.jsonl,0.745
matrix_question_npi_licensor_present.jsonl,0.636
npi_present_1.jsonl,0.535
npi_present_2.jsonl,0.561
only_npi_licensor_present.jsonl,0.855
only_npi_scope.jsonl,0.796
passive_1.jsonl,0.664
passive_2.jsonl,0.654
principle_A_c_command.jsonl,0.412
principle_A_case_1.jsonl,1.0
principle_A_case_2.jsonl,0.941
principle_A_domain_1.jsonl,0.975
principle_A_domain_2.jsonl,0.739
principle_A_domain_3.jsonl,0.719
principle_A_reconstruction.jsonl,0.214
regular_plural_subject_verb_agreement_1.jsonl,0.948
regular_plural_subject_verb_agreement_2.jsonl,0.932
sentential_negation_npi_licensor_present.jsonl,0.992
sentential_negation_npi_scope.jsonl,0.807
sentential_subject_island.jsonl,0.362
superlative_quantifiers_1.jsonl,0.948
superlative_quantifiers_2.jsonl,0.76
tough_vs_raising_1.jsonl,0.564
tough_vs_raising_2.jsonl,0.863
transitive.jsonl,0.699
wh_island.jsonl,0.915
wh_questions_object_gap.jsonl,0.829
wh_questions_subject_gap.jsonl,0.918
wh_questions_subject_gap_long_distance.jsonl,0.857
wh_vs_that_no_gap.jsonl,0.951
wh_vs_that_no_gap_long_distance.jsonl,0.99
wh_vs_that_with_gap.jsonl,0.675
wh_vs_that_with_gap_long_distance.jsonl,0.337
