file_name,accuracy
adjunct_island.jsonl,0.877
anaphor_gender_agreement.jsonl,0.985
anaphor_number_agreement.jsonl,0.992
animate_subject_passive.jsonl,0.775
animate_subject_trans.jsonl,0.865
causative.jsonl,0.721
complex_NP_island.jsonl,0.612
coordinate_structure_constraint_complex_left_branch.jsonl,0.701
coordinate_structure_constraint_object_extraction.jsonl,0.829
determiner_noun_agreement_1.jsonl,0.986
determiner_noun_agreement_2.jsonl,0.97
determiner_noun_agreement_irregular_1.jsonl,0.919
determiner_noun_agreement_irregular_2.jsonl,0.94
determiner_noun_agreement_with_adj_2.jsonl,0.935
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.84
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.902
determiner_noun_agreement_with_adjective_1.jsonl,0.965
distractor_agreement_relational_noun.jsonl,0.86
distractor_agreement_relative_clause.jsonl,0.698
drop_argument.jsonl,0.744
ellipsis_n_bar_1.jsonl,0.825
ellipsis_n_bar_2.jsonl,0.882
existential_there_object_raising.jsonl,0.853
existential_there_quantifiers_1.jsonl,0.981
existential_there_quantifiers_2.jsonl,0.629
existential_there_subject_raising.jsonl,0.882
expletive_it_object_raising.jsonl,0.817
inchoative.jsonl,0.627
intransitive.jsonl,0.793
irregular_past_participle_adjectives.jsonl,0.991
irregular_past_participle_verbs.jsonl,0.888
irregular_plural_subject_verb_agreement_1.jsonl,0.916
irregular_plural_subject_verb_agreement_2.jsonl,0.896
left_branch_island_echo_question.jsonl,0.488
left_branch_island_simple_question.jsonl,0.808
matrix_question_npi_licensor_present.jsonl,0.397
npi_present_1.jsonl,0.668
npi_present_2.jsonl,0.617
only_npi_licensor_present.jsonl,0.826
only_npi_scope.jsonl,0.772
passive_1.jsonl,0.885
passive_2.jsonl,0.892
principle_A_c_command.jsonl,0.629
principle_A_case_1.jsonl,1.0
principle_A_case_2.jsonl,0.932
principle_A_domain_1.jsonl,0.992
principle_A_domain_2.jsonl,0.781
principle_A_domain_3.jsonl,0.539
principle_A_reconstruction.jsonl,0.308
regular_plural_subject_verb_agreement_1.jsonl,0.948
regular_plural_subject_verb_agreement_2.jsonl,0.904
sentential_negation_npi_licensor_present.jsonl,0.98
sentential_negation_npi_scope.jsonl,0.739
sentential_subject_island.jsonl,0.377
superlative_quantifiers_1.jsonl,0.876
superlative_quantifiers_2.jsonl,0.865
tough_vs_raising_1.jsonl,0.582
tough_vs_raising_2.jsonl,0.87
transitive.jsonl,0.831
wh_island.jsonl,0.805
wh_questions_object_gap.jsonl,0.848
wh_questions_subject_gap.jsonl,0.927
wh_questions_subject_gap_long_distance.jsonl,0.869
wh_vs_that_no_gap.jsonl,0.976
wh_vs_that_no_gap_long_distance.jsonl,0.943
wh_vs_that_with_gap.jsonl,0.318
wh_vs_that_with_gap_long_distance.jsonl,0.271
