file_name,accuracy
adjunct_island.jsonl,0.82
anaphor_gender_agreement.jsonl,0.851
anaphor_number_agreement.jsonl,0.98
animate_subject_passive.jsonl,0.768
animate_subject_trans.jsonl,0.816
causative.jsonl,0.695
complex_NP_island.jsonl,0.556
coordinate_structure_constraint_complex_left_branch.jsonl,0.355
coordinate_structure_constraint_object_extraction.jsonl,0.856
determiner_noun_agreement_1.jsonl,0.982
determiner_noun_agreement_2.jsonl,0.988
determiner_noun_agreement_irregular_1.jsonl,0.905
determiner_noun_agreement_irregular_2.jsonl,0.954
determiner_noun_agreement_with_adj_2.jsonl,0.949
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.864
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.931
determiner_noun_agreement_with_adjective_1.jsonl,0.946
distractor_agreement_relational_noun.jsonl,0.866
distractor_agreement_relative_clause.jsonl,0.654
drop_argument.jsonl,0.813
ellipsis_n_bar_1.jsonl,0.861
ellipsis_n_bar_2.jsonl,0.881
existential_there_object_raising.jsonl,0.875
existential_there_quantifiers_1.jsonl,0.96
existential_there_quantifiers_2.jsonl,0.25
existential_there_subject_raising.jsonl,0.846
expletive_it_object_raising.jsonl,0.773
inchoative.jsonl,0.62
intransitive.jsonl,0.812
irregular_past_participle_adjectives.jsonl,0.851
irregular_past_participle_verbs.jsonl,0.896
irregular_plural_subject_verb_agreement_1.jsonl,0.905
irregular_plural_subject_verb_agreement_2.jsonl,0.894
left_branch_island_echo_question.jsonl,0.324
left_branch_island_simple_question.jsonl,0.34
matrix_question_npi_licensor_present.jsonl,0.359
npi_present_1.jsonl,0.519
npi_present_2.jsonl,0.527
only_npi_licensor_present.jsonl,0.715
only_npi_scope.jsonl,0.76
passive_1.jsonl,0.884
passive_2.jsonl,0.865
principle_A_c_command.jsonl,0.513
principle_A_case_1.jsonl,1.0
principle_A_case_2.jsonl,0.97
principle_A_domain_1.jsonl,0.983
principle_A_domain_2.jsonl,0.859
principle_A_domain_3.jsonl,0.515
principle_A_reconstruction.jsonl,0.291
regular_plural_subject_verb_agreement_1.jsonl,0.884
regular_plural_subject_verb_agreement_2.jsonl,0.889
sentential_negation_npi_licensor_present.jsonl,0.999
sentential_negation_npi_scope.jsonl,0.731
sentential_subject_island.jsonl,0.299
superlative_quantifiers_1.jsonl,0.814
superlative_quantifiers_2.jsonl,0.834
tough_vs_raising_1.jsonl,0.603
tough_vs_raising_2.jsonl,0.89
transitive.jsonl,0.874
wh_island.jsonl,0.749
wh_questions_object_gap.jsonl,0.725
wh_questions_subject_gap.jsonl,0.88
wh_questions_subject_gap_long_distance.jsonl,0.788
wh_vs_that_no_gap.jsonl,0.938
wh_vs_that_no_gap_long_distance.jsonl,0.936
wh_vs_that_with_gap.jsonl,0.676
wh_vs_that_with_gap_long_distance.jsonl,0.339
