model,file_name,item_number,formula
EleutherAI/pythia-70m,fgd_hierarchy.json,2,(7.250166058540344 >  6.7272597551345825) & (9.891135573387146 <  8.603985786437988)
EleutherAI/pythia-70m,fgd_hierarchy.json,3,(15.712484359741211 >  15.80429220199585) & (19.589755058288574 <  19.164761066436768)
EleutherAI/pythia-70m,fgd_hierarchy.json,10,(15.982507228851318 >  15.820577383041382) & (19.65119242668152 <  19.536369800567627)
EleutherAI/pythia-70m,fgd_hierarchy.json,11,(7.075598239898682 >  7.282209038734436) & (10.07243299484253 <  10.71398663520813)
EleutherAI/pythia-70m,fgd_hierarchy.json,13,(12.293947219848633 >  13.149658918380737) & (13.98757266998291 <  14.895546436309814)
EleutherAI/pythia-70m,fgd_hierarchy.json,15,(10.747076034545898 >  10.679414749145508) & (11.028826713562012 <  11.020675659179688)
EleutherAI/pythia-70m,fgd_hierarchy.json,17,(9.336321473121643 >  9.617155194282532) & (9.031625866889954 <  9.403089761734009)
EleutherAI/pythia-70m,fgd_hierarchy.json,19,(9.630401074886322 >  9.743859350681305) & (12.21126264333725 <  13.39357340335846)
EleutherAI/pythia-70m,fgd_hierarchy.json,20,(8.436849594116211 >  8.665234565734863) & (12.076274871826172 <  11.701168060302734)
EleutherAI/pythia-70m,fgd_hierarchy.json,23,(17.503471314907074 >  18.112241864204407) & (20.82639592885971 <  21.482483088970184)
EleutherAI/pythia-70m,fgd_hierarchy.json,24,(10.723134279251099 >  9.058485269546509) & (9.500123500823975 <  8.911767780780792)
EleutherAI/pythia-70m,subordination_src-src.json,1,(9.169768333435059 > 9.741580963134766 ) & (36.701673060655594 < 38.07940626144409 )
EleutherAI/pythia-70m,subordination_src-src.json,2,(7.530596733093262 > 7.715348243713379 ) & (25.752713322639465 < 27.91978085041046 )
EleutherAI/pythia-70m,subordination_src-src.json,3,(6.678196907043457 > 7.0373854637146 ) & (31.987614333629608 < 31.98346835374832 )
EleutherAI/pythia-70m,subordination_src-src.json,4,(7.817133903503418 > 7.510997295379639 ) & (31.29387402534485 < 31.11403974890709 )
EleutherAI/pythia-70m,subordination_src-src.json,7,(9.240535736083984 > 9.590346336364746 ) & (41.759397745132446 < 42.10022735595703 )
EleutherAI/pythia-70m,subordination_src-src.json,8,(9.043850898742676 > 9.495616912841797 ) & (40.745786905288696 < 41.87023341655731 )
EleutherAI/pythia-70m,subordination_src-src.json,9,(8.808178901672363 > 9.34703254699707 ) & (46.41939640045166 < 48.445924282073975 )
EleutherAI/pythia-70m,subordination_src-src.json,10,(9.29240608215332 > 9.394049644470215 ) & (30.7234970331192 < 32.98630213737488 )
EleutherAI/pythia-70m,subordination_src-src.json,11,(8.340099334716797 > 8.739307403564453 ) & (33.53740859031677 < 34.94068670272827 )
EleutherAI/pythia-70m,subordination_src-src.json,12,(8.069907188415527 > 8.252335548400879 ) & (29.649620160460472 < 29.871772542595863 )
EleutherAI/pythia-70m,subordination_src-src.json,13,(7.495298862457275 > 7.611021041870117 ) & (39.31409549713135 < 37.37145233154297 )
EleutherAI/pythia-70m,subordination_src-src.json,14,(8.067391395568848 > 8.409201622009277 ) & (46.16637206077576 < 49.742348194122314 )
EleutherAI/pythia-70m,subordination_src-src.json,15,(8.980633735656738 > 9.20840072631836 ) & (44.13224911689758 < 45.34555983543396 )
EleutherAI/pythia-70m,subordination_src-src.json,16,(8.37947940826416 > 8.631723403930664 ) & (34.07915898412466 < 35.88034424185753 )
EleutherAI/pythia-70m,subordination_src-src.json,17,(8.387035369873047 > 8.786745071411133 ) & (31.51079821586609 < 33.74855327606201 )
EleutherAI/pythia-70m,subordination_src-src.json,18,(8.985196113586426 > 9.29224967956543 ) & (44.07613192778081 < 44.43005818978418 )
EleutherAI/pythia-70m,subordination_src-src.json,19,(8.798123359680176 > 9.162342071533203 ) & (37.90866446495056 < 40.22467350959778 )
EleutherAI/pythia-70m,subordination_src-src.json,20,(9.708431243896484 > 9.703161239624023 ) & (41.58278048038483 < 39.41556525230408 )
EleutherAI/pythia-70m,subordination_src-src.json,21,(8.974217414855957 > 9.463361740112305 ) & (47.83049303293228 < 49.903801918029785 )
EleutherAI/pythia-70m,subordination_src-src.json,22,(9.536409378051758 > 9.695793151855469 ) & (29.83603337407112 < 31.489133462309837 )
EleutherAI/pythia-70m,subordination_src-src.json,23,(8.264589309692383 > 8.603660583496094 ) & (46.645394802093506 < 46.28211557865143 )
EleutherAI/pythia-70m,reflexive_src_fem.json,1,( 7.214704513549805 < 5.915388107299805 ) & ( 6.208444595336914 < 6.291330337524414 )
EleutherAI/pythia-70m,reflexive_src_fem.json,2,( 7.792657852172852 < 7.413507461547852 ) & ( 5.058894157409668 < 8.020808219909668 )
EleutherAI/pythia-70m,reflexive_src_fem.json,3,( 9.372442245483398 < 7.75403356552124 ) & ( 7.17851448059082 < 10.18071174621582 )
EleutherAI/pythia-70m,reflexive_src_fem.json,4,( 7.083331108093262 < 4.897418022155762 ) & ( 5.199000358581543 < 7.420924186706543 )
EleutherAI/pythia-70m,reflexive_src_fem.json,5,( 4.289157390594482 < 3.4380831718444824 ) & ( 6.251730918884277 < 8.905051231384277 )
EleutherAI/pythia-70m,reflexive_src_fem.json,6,( 7.418025016784668 < 5.581843376159668 ) & ( 2.241453170776367 < 7.055295944213867 )
EleutherAI/pythia-70m,reflexive_src_fem.json,7,( 9.746811866760254 < 8.072495460510254 ) & ( 3.1344237327575684 < 5.179467678070068 )
EleutherAI/pythia-70m,reflexive_src_fem.json,10,( 7.922788143157959 < 7.467465877532959 ) & ( 5.37696647644043 < 6.33839225769043 )
EleutherAI/pythia-70m,reflexive_src_fem.json,11,( 6.567679405212402 < 3.6752233505249023 ) & ( 7.041857719421387 < 10.218249320983887 )
EleutherAI/pythia-70m,reflexive_src_fem.json,12,( 3.6022086143493652 < 3.0777945518493652 ) & ( 7.393734455108643 < 9.0797700881958 )
EleutherAI/pythia-70m,reflexive_src_fem.json,13,( 9.003307342529297 < 6.300181865692139 ) & ( 3.724372386932373 < 7.815925121307373 )
EleutherAI/pythia-70m,reflexive_src_fem.json,15,( 7.9925384521484375 < 6.6524505615234375 ) & ( 6.522296905517578 < 9.916339874267578 )
EleutherAI/pythia-70m,reflexive_src_fem.json,16,( 6.810726165771484 < 6.793025970458984 ) & ( 6.812274932861328 < 9.004169464111328 )
EleutherAI/pythia-70m,reflexive_src_fem.json,17,( 10.042500495910645 < 8.932759284973145 ) & ( 5.1576385498046875 < 9.336105346679688 )
EleutherAI/pythia-70m,reflexive_src_fem.json,18,( 5.595387935638428 < 4.822560787200928 ) & ( 4.947536468505859 < 7.777370452880859 )
EleutherAI/pythia-70m,reflexive_src_fem.json,19,( 5.890162944793701 < 2.717311382293701 ) & ( 7.0756072998046875 < 8.059371948242188 )
EleutherAI/pythia-70m,npz_obj_mod.json,2,(10.575660228729248 > 8.862210035324097 ) &  (10.575660228729248 > 10.955022811889648 ) & ((10.575660228729248 - 8.862210035324097 ) > (10.955022811889648 - 9.591592788696289 ))
