file_name,accuracy
adjunct_island.jsonl,0.91
anaphor_gender_agreement.jsonl,0.992
anaphor_number_agreement.jsonl,0.973
animate_subject_passive.jsonl,0.802
animate_subject_trans.jsonl,0.863
causative.jsonl,0.793
complex_NP_island.jsonl,0.712
coordinate_structure_constraint_complex_left_branch.jsonl,0.919
coordinate_structure_constraint_object_extraction.jsonl,0.827
determiner_noun_agreement_1.jsonl,0.974
determiner_noun_agreement_2.jsonl,0.976
determiner_noun_agreement_irregular_1.jsonl,0.875
determiner_noun_agreement_irregular_2.jsonl,0.963
determiner_noun_agreement_with_adj_2.jsonl,0.967
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.914
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.961
determiner_noun_agreement_with_adjective_1.jsonl,0.968
distractor_agreement_relational_noun.jsonl,0.987
distractor_agreement_relative_clause.jsonl,0.888
drop_argument.jsonl,0.603
ellipsis_n_bar_1.jsonl,0.911
ellipsis_n_bar_2.jsonl,0.938
existential_there_object_raising.jsonl,0.716
existential_there_quantifiers_1.jsonl,0.976
existential_there_quantifiers_2.jsonl,0.111
existential_there_subject_raising.jsonl,0.908
expletive_it_object_raising.jsonl,0.732
inchoative.jsonl,0.712
intransitive.jsonl,0.747
irregular_past_participle_adjectives.jsonl,0.851
irregular_past_participle_verbs.jsonl,0.894
irregular_plural_subject_verb_agreement_1.jsonl,0.935
irregular_plural_subject_verb_agreement_2.jsonl,0.87
left_branch_island_echo_question.jsonl,0.505
left_branch_island_simple_question.jsonl,0.954
matrix_question_npi_licensor_present.jsonl,0.939
npi_present_1.jsonl,0.595
npi_present_2.jsonl,0.652
only_npi_licensor_present.jsonl,0.955
only_npi_scope.jsonl,0.731
passive_1.jsonl,0.713
passive_2.jsonl,0.797
principle_A_c_command.jsonl,0.518
principle_A_case_1.jsonl,0.997
principle_A_case_2.jsonl,0.941
principle_A_domain_1.jsonl,0.948
principle_A_domain_2.jsonl,0.774
principle_A_domain_3.jsonl,0.777
principle_A_reconstruction.jsonl,0.381
regular_plural_subject_verb_agreement_1.jsonl,0.963
regular_plural_subject_verb_agreement_2.jsonl,0.923
sentential_negation_npi_licensor_present.jsonl,0.984
sentential_negation_npi_scope.jsonl,0.818
sentential_subject_island.jsonl,0.385
superlative_quantifiers_1.jsonl,0.942
superlative_quantifiers_2.jsonl,0.773
tough_vs_raising_1.jsonl,0.701
tough_vs_raising_2.jsonl,0.932
transitive.jsonl,0.727
wh_island.jsonl,0.948
wh_questions_object_gap.jsonl,0.898
wh_questions_subject_gap.jsonl,0.953
wh_questions_subject_gap_long_distance.jsonl,0.943
wh_vs_that_no_gap.jsonl,0.984
wh_vs_that_no_gap_long_distance.jsonl,0.979
wh_vs_that_with_gap.jsonl,0.713
wh_vs_that_with_gap_long_distance.jsonl,0.64
