file_name,accuracy
adjunct_island.jsonl,0.902
anaphor_gender_agreement.jsonl,0.978
anaphor_number_agreement.jsonl,0.959
animate_subject_passive.jsonl,0.832
animate_subject_trans.jsonl,0.863
causative.jsonl,0.813
complex_NP_island.jsonl,0.755
coordinate_structure_constraint_complex_left_branch.jsonl,0.882
coordinate_structure_constraint_object_extraction.jsonl,0.905
determiner_noun_agreement_1.jsonl,0.97
determiner_noun_agreement_2.jsonl,0.973
determiner_noun_agreement_irregular_1.jsonl,0.885
determiner_noun_agreement_irregular_2.jsonl,0.956
determiner_noun_agreement_with_adj_2.jsonl,0.963
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.929
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.956
determiner_noun_agreement_with_adjective_1.jsonl,0.967
distractor_agreement_relational_noun.jsonl,0.945
distractor_agreement_relative_clause.jsonl,0.777
drop_argument.jsonl,0.595
ellipsis_n_bar_1.jsonl,0.767
ellipsis_n_bar_2.jsonl,0.924
existential_there_object_raising.jsonl,0.677
existential_there_quantifiers_1.jsonl,0.931
existential_there_quantifiers_2.jsonl,0.295
existential_there_subject_raising.jsonl,0.859
expletive_it_object_raising.jsonl,0.711
inchoative.jsonl,0.745
intransitive.jsonl,0.756
irregular_past_participle_adjectives.jsonl,0.868
irregular_past_participle_verbs.jsonl,0.923
irregular_plural_subject_verb_agreement_1.jsonl,0.904
irregular_plural_subject_verb_agreement_2.jsonl,0.88
left_branch_island_echo_question.jsonl,0.708
left_branch_island_simple_question.jsonl,0.964
matrix_question_npi_licensor_present.jsonl,0.921
npi_present_1.jsonl,0.68
npi_present_2.jsonl,0.663
only_npi_licensor_present.jsonl,0.924
only_npi_scope.jsonl,0.722
passive_1.jsonl,0.752
passive_2.jsonl,0.86
principle_A_c_command.jsonl,0.599
principle_A_case_1.jsonl,0.983
principle_A_case_2.jsonl,0.91
principle_A_domain_1.jsonl,0.935
principle_A_domain_2.jsonl,0.685
principle_A_domain_3.jsonl,0.699
principle_A_reconstruction.jsonl,0.522
regular_plural_subject_verb_agreement_1.jsonl,0.945
regular_plural_subject_verb_agreement_2.jsonl,0.901
sentential_negation_npi_licensor_present.jsonl,0.933
sentential_negation_npi_scope.jsonl,0.745
sentential_subject_island.jsonl,0.539
superlative_quantifiers_1.jsonl,0.833
superlative_quantifiers_2.jsonl,0.794
tough_vs_raising_1.jsonl,0.666
tough_vs_raising_2.jsonl,0.917
transitive.jsonl,0.828
wh_island.jsonl,0.871
wh_questions_object_gap.jsonl,0.879
wh_questions_subject_gap.jsonl,0.924
wh_questions_subject_gap_long_distance.jsonl,0.872
wh_vs_that_no_gap.jsonl,0.958
wh_vs_that_no_gap_long_distance.jsonl,0.92
wh_vs_that_with_gap.jsonl,0.65
wh_vs_that_with_gap_long_distance.jsonl,0.605
