file_name,accuracy
adjunct_island.jsonl,0.854
anaphor_gender_agreement.jsonl,0.923
anaphor_number_agreement.jsonl,0.956
animate_subject_passive.jsonl,0.737
animate_subject_trans.jsonl,0.845
causative.jsonl,0.636
complex_NP_island.jsonl,0.552
coordinate_structure_constraint_complex_left_branch.jsonl,0.663
coordinate_structure_constraint_object_extraction.jsonl,0.786
determiner_noun_agreement_1.jsonl,0.927
determiner_noun_agreement_2.jsonl,0.879
determiner_noun_agreement_irregular_1.jsonl,0.805
determiner_noun_agreement_irregular_2.jsonl,0.841
determiner_noun_agreement_with_adj_2.jsonl,0.828
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.812
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.802
determiner_noun_agreement_with_adjective_1.jsonl,0.886
distractor_agreement_relational_noun.jsonl,0.724
distractor_agreement_relative_clause.jsonl,0.554
drop_argument.jsonl,0.604
ellipsis_n_bar_1.jsonl,0.682
ellipsis_n_bar_2.jsonl,0.908
existential_there_object_raising.jsonl,0.792
existential_there_quantifiers_1.jsonl,0.965
existential_there_quantifiers_2.jsonl,0.269
existential_there_subject_raising.jsonl,0.858
expletive_it_object_raising.jsonl,0.729
inchoative.jsonl,0.47
intransitive.jsonl,0.58
irregular_past_participle_adjectives.jsonl,0.939
irregular_past_participle_verbs.jsonl,0.659
irregular_plural_subject_verb_agreement_1.jsonl,0.85
irregular_plural_subject_verb_agreement_2.jsonl,0.782
left_branch_island_echo_question.jsonl,0.692
left_branch_island_simple_question.jsonl,0.738
matrix_question_npi_licensor_present.jsonl,0.507
npi_present_1.jsonl,0.617
npi_present_2.jsonl,0.62
only_npi_licensor_present.jsonl,0.832
only_npi_scope.jsonl,0.693
passive_1.jsonl,0.839
passive_2.jsonl,0.802
principle_A_c_command.jsonl,0.667
principle_A_case_1.jsonl,0.998
principle_A_case_2.jsonl,0.736
principle_A_domain_1.jsonl,0.975
principle_A_domain_2.jsonl,0.662
principle_A_domain_3.jsonl,0.615
principle_A_reconstruction.jsonl,0.329
regular_plural_subject_verb_agreement_1.jsonl,0.881
regular_plural_subject_verb_agreement_2.jsonl,0.739
sentential_negation_npi_licensor_present.jsonl,0.991
sentential_negation_npi_scope.jsonl,0.738
sentential_subject_island.jsonl,0.368
superlative_quantifiers_1.jsonl,0.75
superlative_quantifiers_2.jsonl,0.774
tough_vs_raising_1.jsonl,0.559
tough_vs_raising_2.jsonl,0.798
transitive.jsonl,0.783
wh_island.jsonl,0.68
wh_questions_object_gap.jsonl,0.696
wh_questions_subject_gap.jsonl,0.893
wh_questions_subject_gap_long_distance.jsonl,0.873
wh_vs_that_no_gap.jsonl,0.929
wh_vs_that_no_gap_long_distance.jsonl,0.894
wh_vs_that_with_gap.jsonl,0.211
wh_vs_that_with_gap_long_distance.jsonl,0.311
