file_name,accuracy
adjunct_island.jsonl,0.91
anaphor_gender_agreement.jsonl,0.996
anaphor_number_agreement.jsonl,0.993
animate_subject_passive.jsonl,0.784
animate_subject_trans.jsonl,0.904
causative.jsonl,0.72
complex_NP_island.jsonl,0.567
coordinate_structure_constraint_complex_left_branch.jsonl,0.771
coordinate_structure_constraint_object_extraction.jsonl,0.885
determiner_noun_agreement_1.jsonl,0.997
determiner_noun_agreement_2.jsonl,0.982
determiner_noun_agreement_irregular_1.jsonl,0.953
determiner_noun_agreement_irregular_2.jsonl,0.936
determiner_noun_agreement_with_adj_2.jsonl,0.949
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.893
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.914
determiner_noun_agreement_with_adjective_1.jsonl,0.973
distractor_agreement_relational_noun.jsonl,0.846
distractor_agreement_relative_clause.jsonl,0.713
drop_argument.jsonl,0.773
ellipsis_n_bar_1.jsonl,0.855
ellipsis_n_bar_2.jsonl,0.907
existential_there_object_raising.jsonl,0.804
existential_there_quantifiers_1.jsonl,0.977
existential_there_quantifiers_2.jsonl,0.533
existential_there_subject_raising.jsonl,0.887
expletive_it_object_raising.jsonl,0.771
inchoative.jsonl,0.627
intransitive.jsonl,0.833
irregular_past_participle_adjectives.jsonl,0.865
irregular_past_participle_verbs.jsonl,0.834
irregular_plural_subject_verb_agreement_1.jsonl,0.909
irregular_plural_subject_verb_agreement_2.jsonl,0.906
left_branch_island_echo_question.jsonl,0.537
left_branch_island_simple_question.jsonl,0.872
matrix_question_npi_licensor_present.jsonl,0.807
npi_present_1.jsonl,0.554
npi_present_2.jsonl,0.603
only_npi_licensor_present.jsonl,0.937
only_npi_scope.jsonl,0.809
passive_1.jsonl,0.87
passive_2.jsonl,0.864
principle_A_c_command.jsonl,0.815
principle_A_case_1.jsonl,1.0
principle_A_case_2.jsonl,0.947
principle_A_domain_1.jsonl,0.994
principle_A_domain_2.jsonl,0.909
principle_A_domain_3.jsonl,0.697
principle_A_reconstruction.jsonl,0.476
regular_plural_subject_verb_agreement_1.jsonl,0.934
regular_plural_subject_verb_agreement_2.jsonl,0.912
sentential_negation_npi_licensor_present.jsonl,0.99
sentential_negation_npi_scope.jsonl,0.701
sentential_subject_island.jsonl,0.329
superlative_quantifiers_1.jsonl,0.892
superlative_quantifiers_2.jsonl,0.89
tough_vs_raising_1.jsonl,0.652
tough_vs_raising_2.jsonl,0.901
transitive.jsonl,0.842
wh_island.jsonl,0.838
wh_questions_object_gap.jsonl,0.832
wh_questions_subject_gap.jsonl,0.918
wh_questions_subject_gap_long_distance.jsonl,0.865
wh_vs_that_no_gap.jsonl,0.966
wh_vs_that_no_gap_long_distance.jsonl,0.944
wh_vs_that_with_gap.jsonl,0.353
wh_vs_that_with_gap_long_distance.jsonl,0.328
