file_name,accuracy
adjunct_island.jsonl,0.794
anaphor_gender_agreement.jsonl,0.987
anaphor_number_agreement.jsonl,0.979
animate_subject_passive.jsonl,0.756
animate_subject_trans.jsonl,0.77
causative.jsonl,0.837
complex_NP_island.jsonl,0.654
coordinate_structure_constraint_complex_left_branch.jsonl,0.858
coordinate_structure_constraint_object_extraction.jsonl,0.892
determiner_noun_agreement_1.jsonl,0.993
determiner_noun_agreement_2.jsonl,1.0
determiner_noun_agreement_irregular_1.jsonl,0.869
determiner_noun_agreement_irregular_2.jsonl,0.974
determiner_noun_agreement_with_adj_2.jsonl,0.979
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.914
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.962
determiner_noun_agreement_with_adjective_1.jsonl,0.981
distractor_agreement_relational_noun.jsonl,0.956
distractor_agreement_relative_clause.jsonl,0.855
drop_argument.jsonl,0.746
ellipsis_n_bar_1.jsonl,0.899
ellipsis_n_bar_2.jsonl,0.953
existential_there_object_raising.jsonl,0.729
existential_there_quantifiers_1.jsonl,0.975
existential_there_quantifiers_2.jsonl,0.155
existential_there_subject_raising.jsonl,0.897
expletive_it_object_raising.jsonl,0.736
inchoative.jsonl,0.757
intransitive.jsonl,0.8
irregular_past_participle_adjectives.jsonl,0.969
irregular_past_participle_verbs.jsonl,0.961
irregular_plural_subject_verb_agreement_1.jsonl,0.919
irregular_plural_subject_verb_agreement_2.jsonl,0.958
left_branch_island_echo_question.jsonl,0.485
left_branch_island_simple_question.jsonl,0.973
matrix_question_npi_licensor_present.jsonl,0.803
npi_present_1.jsonl,0.799
npi_present_2.jsonl,0.809
only_npi_licensor_present.jsonl,0.993
only_npi_scope.jsonl,0.837
passive_1.jsonl,0.818
passive_2.jsonl,0.881
principle_A_c_command.jsonl,0.473
principle_A_case_1.jsonl,0.999
principle_A_case_2.jsonl,0.968
principle_A_domain_1.jsonl,0.938
principle_A_domain_2.jsonl,0.792
principle_A_domain_3.jsonl,0.797
principle_A_reconstruction.jsonl,0.198
regular_plural_subject_verb_agreement_1.jsonl,0.96
regular_plural_subject_verb_agreement_2.jsonl,0.964
sentential_negation_npi_licensor_present.jsonl,1.0
sentential_negation_npi_scope.jsonl,0.85
sentential_subject_island.jsonl,0.478
superlative_quantifiers_1.jsonl,0.874
superlative_quantifiers_2.jsonl,0.747
tough_vs_raising_1.jsonl,0.632
tough_vs_raising_2.jsonl,0.972
transitive.jsonl,0.861
wh_island.jsonl,0.71
wh_questions_object_gap.jsonl,0.882
wh_questions_subject_gap.jsonl,0.937
wh_questions_subject_gap_long_distance.jsonl,0.808
wh_vs_that_no_gap.jsonl,0.982
wh_vs_that_no_gap_long_distance.jsonl,0.976
wh_vs_that_with_gap.jsonl,0.764
wh_vs_that_with_gap_long_distance.jsonl,0.641
