file_name,accuracy
adjunct_island.jsonl,0.874
anaphor_gender_agreement.jsonl,0.934
anaphor_number_agreement.jsonl,0.994
animate_subject_passive.jsonl,0.772
animate_subject_trans.jsonl,0.896
causative.jsonl,0.692
complex_NP_island.jsonl,0.579
coordinate_structure_constraint_complex_left_branch.jsonl,0.743
coordinate_structure_constraint_object_extraction.jsonl,0.853
determiner_noun_agreement_1.jsonl,0.99
determiner_noun_agreement_2.jsonl,0.973
determiner_noun_agreement_irregular_1.jsonl,0.953
determiner_noun_agreement_irregular_2.jsonl,0.931
determiner_noun_agreement_with_adj_2.jsonl,0.918
determiner_noun_agreement_with_adj_irregular_1.jsonl,0.874
determiner_noun_agreement_with_adj_irregular_2.jsonl,0.881
determiner_noun_agreement_with_adjective_1.jsonl,0.96
distractor_agreement_relational_noun.jsonl,0.759
distractor_agreement_relative_clause.jsonl,0.645
drop_argument.jsonl,0.776
ellipsis_n_bar_1.jsonl,0.738
ellipsis_n_bar_2.jsonl,0.93
existential_there_object_raising.jsonl,0.832
existential_there_quantifiers_1.jsonl,0.967
existential_there_quantifiers_2.jsonl,0.28
existential_there_subject_raising.jsonl,0.878
expletive_it_object_raising.jsonl,0.782
inchoative.jsonl,0.698
intransitive.jsonl,0.821
irregular_past_participle_adjectives.jsonl,0.957
irregular_past_participle_verbs.jsonl,0.874
irregular_plural_subject_verb_agreement_1.jsonl,0.919
irregular_plural_subject_verb_agreement_2.jsonl,0.906
left_branch_island_echo_question.jsonl,0.64
left_branch_island_simple_question.jsonl,0.886
matrix_question_npi_licensor_present.jsonl,0.487
npi_present_1.jsonl,0.531
npi_present_2.jsonl,0.688
only_npi_licensor_present.jsonl,0.857
only_npi_scope.jsonl,0.725
passive_1.jsonl,0.875
passive_2.jsonl,0.905
principle_A_c_command.jsonl,0.778
principle_A_case_1.jsonl,1.0
principle_A_case_2.jsonl,0.921
principle_A_domain_1.jsonl,0.988
principle_A_domain_2.jsonl,0.854
principle_A_domain_3.jsonl,0.666
principle_A_reconstruction.jsonl,0.497
regular_plural_subject_verb_agreement_1.jsonl,0.968
regular_plural_subject_verb_agreement_2.jsonl,0.897
sentential_negation_npi_licensor_present.jsonl,0.992
sentential_negation_npi_scope.jsonl,0.668
sentential_subject_island.jsonl,0.479
superlative_quantifiers_1.jsonl,0.868
superlative_quantifiers_2.jsonl,0.833
tough_vs_raising_1.jsonl,0.714
tough_vs_raising_2.jsonl,0.839
transitive.jsonl,0.888
wh_island.jsonl,0.729
wh_questions_object_gap.jsonl,0.761
wh_questions_subject_gap.jsonl,0.873
wh_questions_subject_gap_long_distance.jsonl,0.889
wh_vs_that_no_gap.jsonl,0.963
wh_vs_that_no_gap_long_distance.jsonl,0.955
wh_vs_that_with_gap.jsonl,0.386
wh_vs_that_with_gap_long_distance.jsonl,0.319
